Time,Discharge,Season,Temperature_C,pH_Level,Water_Quality_Percentage
3174,498.1682543,Winter,18.68067371,6.371072552,34.87014946
3507,448.7283304,Spring,1.636040975,7.749828591,32.25715331
860,231.744036,Autumn,-4.012633711,8.204277867,40.58490589
1294,311.5063977,Spring,9.510144016,6.964599027,33.52719043
1130,373.9610149,Spring,16.86785313,6.103952129,30.37893917
1095,17.5290936,Summer,28.59281409,6.381674661,64.46683928
3092,447.4712285,Summer,0.099427206,8.744083681,41.65001416
1638,430.0773955,Winter,27.00825391,7.480630979,46.82123402
2169,228.7703057,Spring,29.52036184,7.360718429,69.03513147
466,195.6457661,Winter,1.02749948,6.114147535,22.75086873
1238,136.5523915,Autumn,29.06377277,8.185911067,84.36477094
330,238.3907465,Spring,34.65814271,7.584204243,73.35471149
1482,22.2838941,Spring,24.07355324,6.606242808,60.05890991
2135,426.1115473,Autumn,26.39078727,6.330221281,37.56900637
3444,17.80764197,Autumn,34.7766107,7.150163591,83.79498347
3171,164.5927775,Winter,19.21925002,8.511485893,66.98550912
2919,465.8015852,Winter,7.315455281,8.595883678,40.43501094
130,367.632806,Autumn,28.50123336,7.808539141,56.97897203
1685,140.7673412,Winter,19.5794311,8.182609282,76.77445216
3380,126.3992821,Autumn,18.24781695,6.345467362,58.76623914
769,2.640561695,Spring,5.145422221,7.764378196,64.94899397
2391,347.887575,Spring,25.25337078,8.00089711,58.78208964
1515,24.48691248,Summer,-1.733308966,6.602138529,35.78247345
3485,266.3479994,Spring,31.97148283,8.640464199,73.53433584
2853,481.0647741,Autumn,8.032938431,6.584990213,27.66731899
2433,54.82348314,Winter,0.110986112,6.94043208,45.86256908
1215,447.2505175,Summer,12.69466132,7.861670541,44.36471415
955,495.73852,Winter,-3.30120363,7.915050195,19.83050783
2324,30.85236142,Autumn,22.38504777,8.098154223,67.75178885
1184,441.4648439,Spring,31.10822042,6.336035139,35.33498513
459,258.0879023,Summer,28.49052029,8.54839329,73.8073221
3385,453.2662084,Autumn,0.094778938,7.598541397,21.24709815
21,285.7023391,Summer,0.050845484,7.413965382,28.84021485
2300,331.0897939,Summer,27.53737929,8.943292874,73.86220457
747,271.9350761,Spring,31.97017098,8.221134891,77.96243757
2904,432.2599909,Autumn,13.42679319,6.35401808,22.49983228
3632,366.9815685,Winter,14.95884468,8.269617502,44.11427558
474,260.6780301,Summer,7.730481655,6.285746802,26.53399941
1082,434.0935859,Summer,30.77060473,6.082411688,35.31968924
2558,122.7182376,Winter,20.79611621,7.210877686,63.51365396
2047,78.75459579,Autumn,6.530063087,8.980734518,66.60996881
3547,80.28401265,Summer,6.951314842,6.524651809,51.76713874
2747,167.0710385,Summer,30.64800292,8.017933031,79.50507408
975,119.4211466,Summer,-4.454639044,6.520188199,37.62052321
1806,465.0521662,Autumn,7.909062909,8.174360925,29.72301382
189,53.0064635,Autumn,17.17426725,7.516061005,47.90092406
3005,349.5254699,Winter,0.928698484,8.03991513,36.5589525
2734,94.69184774,Autumn,-1.316049832,6.608619528,34.67983485
